question,paraphrase_question,answer
What subjects does Dr. VENKATESH KAMATH H handle?,What are the subjects Dr. VENKATESH KAMATH H teaches or specializes in?,"Dr. VENKATESH KAMATH H handles subjects including Bioprocess Calculations, Heat and mass Transfer, Applied Biostatistics, Biomedical Instrumentation, Environmental studies, Applied Biostatistics & Design of Experiments, and Food Process Engineering."
What are Dr. VENKATESH KAMATH H's conferences/CME/Workshops?,"What are the conferences, CMEs, and workshops Dr. VENKATESH KAMATH H has participated in or organized?","Dr. VENKATESH KAMATH H has participated in international conferences, national conferences, workshops, and online certification courses."
What is Dr. VENKATESH KAMATH H's project guide experience?,What is Dr. VENKATESH KAMATH H's experience in guiding projects?,Dr. VENKATESH KAMATH H has guided 07 UG Final Year Projects in the last 5 years.
Tell me more about Dr. VENKATESH KAMATH H,Can you provide more details about Dr. VENKATESH KAMATH H's professional profile?,"Dr. VENKATESH KAMATH H is a distinguished biotechnologist with a Ph.D. in Applied Sciences (Biotechnology) and extensive experience in academia and research. They have served in various capacities, focusing on Bioreactor design, Bioprocess design, and Biofuels. They have received the SERB-TARE Fellowship 2021-23 and the Best Paper award at National Level Symposium Environmental Pollution Prevention Control: Future Perspective held at NITK, Surathkal. They have participated in international conferences, national conferences, workshops, and online certification courses."
What are Dr. SANDESH K.'s educational qualifications?,What are the educational credentials of Dr. SANDESH K.?,"Dr. SANDESH K. has a Ph.D., Faculty of Applied Science (Biotechnology) from V.T.U. 2020, M.Tech. Chemical Plant Design from NITK, Surathkal, 2010, and B.E. Chemical Engineering from V.T.U. 2008."
What is Dr. SANDESH K.'s past experience?,What has been Dr. SANDESH K.'s professional background?,Dr. SANDESH K. has served as an Assistant Professor GD III at NMAM Institute of Technology Nitte from 2010 to the present.
What are Dr. SANDESH K.'s areas of interest?,What are the research areas Dr. SANDESH K. is focused on?,"Dr. SANDESH K.'s areas of interest include ABE fermentation, Biofuel, Bioreactor Design and Control, Fermentation Heat and Mass transfer, Reaction Engineering, and Unit Operations."
What is Dr. SANDESH K.'s achievement?,What is the accomplishment of Dr. SANDESH K.?,Dr. SANDESH K. received the Best Paper Award for the paper titled 'Optimization of Pretreatment of Saccharum spontaneum (Kans Grass) Biomass for Production of Alcoholic Biofuels' presented at RACEEE-2017.
What are Dr. SANDESH K.'s departmental responsibilities?,What are the roles and duties Dr. SANDESH K. has within the department?,"Dr. SANDESH K. has served in various departmental responsibilities including Board of Studies- Nitte University, Board of Examination: UG, DUGC, NAAC Criterion 1: Convenor, NBA Coordinator, ARIIA-Coordinator, Feedback System: Faculty, Student, Alumni, and Department Timetable Coordinator."
What are Dr. SANDESH K.'s professional memberships?,What are the professional organizations Dr. SANDESH K. is a part of?,Dr. SANDESH K. is an ISTE lifetime member.
What subjects does Dr. SANDESH K. handle?,What are the subjects Dr. SANDESH K. teaches or specializes in?,"Dr. SANDESH K. handles subjects including Biomedical Instrumentation, Bioprocess Engineering, Bioreactor Design and Analysis, Principles of Fermentation and Control, Reaction Engineering, and Conferences/CME/Workshops."
What are Dr. SANDESH K.'s conferences/CME/Workshops?,"What are the conferences, CMEs, and workshops Dr. SANDESH K. has participated in or organized?","Dr. SANDESH K. has participated in various workshops, short-term training programs, and conferences related to industrial safety, data analysis, infrared spectroscopy, optimization techniques, and bioreactor modeling."
What is Dr. SANDESH K.'s project guide experience?,What is Dr. SANDESH K.'s experience in guiding projects?,Dr. SANDESH K. has guided 06 B.E Projects and 01 M.Tech Project.
Tell me more about Dr. SANDESH K.,Can you provide more details about Dr. SANDESH K.'s professional profile?,"Dr. SANDESH K. is a distinguished biotechnologist with a Ph.D. in Applied Sciences (Biotechnology) and extensive experience in academia and research. They have served in various capacities, focusing on ABE fermentation, Biofuel, Bioreactor Design and Control, Fermentation Heat and Mass transfer, Reaction Engineering, and Unit Operations. They have received the Best Paper Award for their research on the optimization of Saccharum spontaneum biomass for alcoholic biofuels."
What are Dr. ULLAL HARSHINI DEVI's educational qualifications?,What are the educational credentials of Dr. ULLAL HARSHINI DEVI?,"Dr. ULLAL HARSHINI DEVI has a Doctor of Philosophy (Allied Health Sciences) from Nitte (Deemed to be University), 2020."
What is Dr. ULLAL HARSHINI DEVI's past experience?,What has been Dr. ULLAL HARSHINI DEVI's professional background?,"Dr. ULLAL HARSHINI DEVI has served as a Research Assistant at the Central Research Laboratory, A.B.Shetty Memorial Institute of Dental Sciences, Deralakatte, Mangalore (2011-2013), Research Assistant at the Central Research Laboratory, K.S.Hegde Medical Academy, Deralakatte, Mangalore (2013-2019), Assistant Professor Gd I at the Department of Biotechnology, NMAMIT, Nitte, Karkala (2013-2020), and Assistant Professor Gd III at the Department of Biotechnology, NMAMIT, Nitte, Karkala (2020-till date)."
What are Dr. ULLAL HARSHINI DEVI's areas of interest?,What are the research areas Dr. ULLAL HARSHINI DEVI is focused on?,"Dr. ULLAL HARSHINI DEVI's areas of interest include Biochemistry, Microbiology, Molecular Biology, Genetics, Nutraceuticals, and Pharmaceutical Biotechnology."
What is Dr. ULLAL HARSHINI DEVI's achievement?,What is the accomplishment of Dr. ULLAL HARSHINI DEVI?,Dr. ULLAL HARSHINI DEVI participated in the 'Japan-Asia Youth Exchange Program in Science' (SAKURA Exchange Program in Science).
What are Dr. ULLAL HARSHINI DEVI's departmental responsibilities?,What are the roles and duties Dr. ULLAL HARSHINI DEVI has within the department?,"Dr. ULLAL HARSHINI DEVI has served in various departmental responsibilities including Member of various committees including registration and counseling, NAAC coordinator, ISO coordinator, NIRF and AICTE - CII coordinator, UG Class Committee/Student Welfare Committee, Placement Coordinator, Library Committee Coordinator, and Class Advisor."
What are Dr. ULLAL HARSHINI DEVI's professional memberships?,What are the professional organizations Dr. ULLAL HARSHINI DEVI is a part of?,Dr. ULLAL HARSHINI DEVI is a Life Member of the Indian Association of Biomedical Scientists.
What subjects does Dr. ULLAL HARSHINI DEVI handle?,What are the subjects Dr. ULLAL HARSHINI DEVI teaches or specializes in?,"Dr. ULLAL HARSHINI DEVI handles subjects including Analytical techniques and Molecular Biology Lab, Bioinformatics, Bioethics, Biosafety & IPR, Microbiology Lab, Molecular Biology and Genetics, Nutraceuticals, and Pharmaceutical Biotechnology."
What are Dr. ULLAL HARSHINI DEVI's conferences/CME/Workshops?,"What are the conferences, CMEs, and workshops Dr. ULLAL HARSHINI DEVI has participated in or organized?","Dr. ULLAL HARSHINI DEVI has participated in various workshops, seminars, conferences, and webinars on topics including molecular genetics, biosafety, clinical research methodology, bioinformatics, and more."
What is Dr. ULLAL HARSHINI DEVI's project guide experience?,What is Dr. ULLAL HARSHINI DEVI's experience in guiding projects?,No specific information provided.
Tell me more about Dr. ULLAL HARSHINI DEVI,Can you provide more details about Dr. ULLAL HARSHINI DEVI's professional profile?,"Dr. ULLAL HARSHINI DEVI is a distinguished biotechnologist with a Doctor of Philosophy (Allied Health Sciences) and extensive experience in academia and research. They have served in various capacities, focusing on Biochemistry, Microbiology, Molecular Biology, Genetics, Nutraceuticals, and Pharmaceutical Biotechnology. They have participated in the 'Japan-Asia Youth Exchange Program in Science' and have served in various departmental responsibilities including NAAC coordinator, ISO coordinator, NIRF and AICTE - CII coordinator, UG Class Committee/Student Welfare Committee, Placement Coordinator, Library Committee Coordinator, and Class Advisor."
What are Dr. SNEHA NAYAK's educational qualifications?,What are the educational credentials of Dr. SNEHA NAYAK?,"Dr. SNEHA NAYAK has a Ph.D. (Biotechnology) from Visvesvaraya Technological University, 2022, M.Tech (Environmental Engineering) from MIT, 2012, and B.E (Biotechnology) from VTU, 2010."
What is Dr. SNEHA NAYAK's past experience?,What has been Dr. SNEHA NAYAK's professional background?,Dr. SNEHA NAYAK has served as a Temporary Lecturer at NITK for 4 months.
What are Dr. SNEHA NAYAK's areas of interest?,What are the research areas Dr. SNEHA NAYAK is focused on?,"Dr. SNEHA NAYAK's areas of interest include Artificial Intelligence, Bionanotechnology, Bioremediation, Green Synthesis."
What is Dr. SNEHA NAYAK's achievement?,What is the accomplishment of Dr. SNEHA NAYAK?,Dr. SNEHA NAYAK received the Best project award in 'EXPRO 2017' for a guided project on 'Production of Value added products from areca nut.' They also received an RGSF Grant of Rs 500000 from VGST GoK for the year 2017-2018 and a certificate for presenting a scientific paper under the Women Scientist Award category in the international Conference on advances in pharmaceutical and health sciences (ICAPHS- 2020).
What are Dr. SNEHA NAYAK's departmental responsibilities?,What are the roles and duties Dr. SNEHA NAYAK has within the department?,"Dr. SNEHA NAYAK has served in various departmental responsibilities including Course Plan coordinator, MOOCs or NPTEL Coordinator, Phoenix- BT students Association Coordinator, ISTE Coordinator, Sports Committee coordinator, Smart India Hackathon -Dept. Coordinator, Incridea Dept. Coordinator, and Lab Incharge (Mass transfer)."
What are Dr. SNEHA NAYAK's professional memberships?,What are the professional organizations Dr. SNEHA NAYAK is a part of?,Dr. SNEHA NAYAK is a lifetime member of ISTE.
What subjects does Dr. SNEHA NAYAK handle?,What are the subjects Dr. SNEHA NAYAK teaches or specializes in?,"Dr. SNEHA NAYAK handles subjects including Biology for Engineers, Plant Design and Economics, Downstream Processing Technology, Environmental Studies, Food Biotechnology, Nanotechnology, Pharmaceutical Sciences, Solid Waste Management, and Waste water Treatment."
What are Dr. SNEHA NAYAK's conferences/CME/Workshops?,"What are the conferences, CMEs, and workshops Dr. SNEHA NAYAK has participated in or organized?","Dr. SNEHA NAYAK has participated in various workshops, seminars, conferences, and FDPs on topics including nanotechnology, pedagogical training, research methodologies, and more."
What is Dr. SNEHA NAYAK's project guide experience?,What is Dr. SNEHA NAYAK's experience in guiding projects?,No specific information provided.
Tell me more about Dr. SNEHA NAYAK,Can you provide more details about Dr. SNEHA NAYAK's professional profile?,"Dr. SNEHA NAYAK is a distinguished biotechnologist with a Ph.D. in Biotechnology and extensive experience in academia and research. They have served in various capacities, focusing on Artificial Intelligence, Bionanotechnology, Bioremediation, and Green Synthesis. They have received several awards and recognitions for their research and contributions to the field."
What are Dr. LOUELLA CONCEPTA GOVEAS's educational qualifications?,What are the educational credentials of Dr. LOUELLA CONCEPTA GOVEAS?,"Dr. LOUELLA CONCEPTA GOVEAS has a Ph.D (Applied Sciences-Biotechnology) from Visvesvaraya Technological University, 2022, M.Tech (Industrial Biotechnology) from Manipal Academy of Higher Education, 2012, and B.E (Biotechnology) from Visvesvaraya Technological University, 2009."
What is Dr. LOUELLA CONCEPTA GOVEAS's past experience?,What has been Dr. LOUELLA CONCEPTA GOVEAS's professional background?,"Dr. LOUELLA CONCEPTA GOVEAS has served as an Assistant Professor GD II at NMAM Institute of Technology, January 2021-Present, and Assistant Professor GD I at NMAM Institute of Technology, August 2013-December 2020."
What are Dr. LOUELLA CONCEPTA GOVEAS's areas of interest?,What are the research areas Dr. LOUELLA CONCEPTA GOVEAS is focused on?,"Dr. LOUELLA CONCEPTA GOVEAS's areas of interest include Bioprocess Design and Optimization, Environmental Remediation, and Microbial Exopolysaccharides."
What is Dr. LOUELLA CONCEPTA GOVEAS's achievement?,What is the accomplishment of Dr. LOUELLA CONCEPTA GOVEAS?,"Dr. LOUELLA CONCEPTA GOVEAS has won awards for papers and projects in various conferences and competitions, presented papers at international conferences, and guided research work awarded 'The Best Project Award' at national level competitions."
What are Dr. LOUELLA CONCEPTA GOVEAS's departmental responsibilities?,What are the roles and duties Dr. LOUELLA CONCEPTA GOVEAS has within the department?,"Dr. LOUELLA CONCEPTA GOVEAS has served in various departmental responsibilities including Member of Board of Examinations - UG, Member of Board of Studies - UG - NU, NAAC Coordinator - Department Level, NBA Coordinator - Department Level, Supplementary Semester Coordinator, Documentation In charge for Student Achievements, and WeNamitaa - Alumni Association Coordinator."
What are Dr. LOUELLA CONCEPTA GOVEAS's professional memberships?,What are the professional organizations Dr. LOUELLA CONCEPTA GOVEAS is a part of?,Dr. LOUELLA CONCEPTA GOVEAS is a Member of the Indian Society for Technical Education (ISTE).
What subjects does Dr. LOUELLA CONCEPTA GOVEAS handle?,What are the subjects Dr. LOUELLA CONCEPTA GOVEAS teaches or specializes in?,"Dr. LOUELLA CONCEPTA GOVEAS handles subjects including Bioprocess Calculations, Food Biotechnology, Heat and Mass Transfer, Thermodynamics, Transport Phenomena, Unit Operations in Bioprocess Industries, and Upstream Processing Technology."
What are Dr. LOUELLA CONCEPTA GOVEAS's conferences/CME/Workshops?,"What are the conferences, CMEs, and workshops Dr. LOUELLA CONCEPTA GOVEAS has participated in or organized?","Dr. LOUELLA CONCEPTA GOVEAS has organized workshops, attended conferences, and participated in various training programs related to biotechnology and research methodologies."
What is Dr. LOUELLA CONCEPTA GOVEAS's project guide experience?,What is Dr. LOUELLA CONCEPTA GOVEAS's experience in guiding projects?,Dr. LOUELLA CONCEPTA GOVEAS has guided 06 B.E Projects.
Tell me more about Dr. LOUELLA CONCEPTA GOVEAS,Can you provide more details about Dr. LOUELLA CONCEPTA GOVEAS's professional profile?,"Dr. LOUELLA CONCEPTA GOVEAS is a distinguished biotechnologist with a Ph.D in Applied Sciences-Biotechnology and extensive experience in academia and research. They have served in various capacities, focusing on Bioprocess Design and Optimization, Environmental Remediation, and Microbial Exopolysaccharides. They have received several awards and recognitions for their research and contributions to the field."
What are Dr. HARSHITHA M JATHANNA's educational qualifications?,What are the educational credentials of Dr. HARSHITHA M JATHANNA?,"Dr. HARSHITHA M JATHANNA has a B.E. (Biotechnology) from NMAM Institute of Technology, Nitte-2010, M.Tech (Industrial Biotechnology) from Manipal Institute of Technology, Manipal -2012, and PhD (Biofuels Engineering) from Visvesvaraya Technological University, Belagavi."
What is Dr. HARSHITHA M JATHANNA's past experience?,What has been Dr. HARSHITHA M JATHANNA's professional background?,"Dr. HARSHITHA M JATHANNA has served as an Associate Operations Specialist at Quintiles India Private Limited, Bangalore from 2012-13."
What are Dr. HARSHITHA M JATHANNA's areas of interest?,What are the research areas Dr. HARSHITHA M JATHANNA is focused on?,"Dr. HARSHITHA M JATHANNA's areas of interest include Bioenergy, Biofuels Technology, Environmental Biotechnology, and Fermentation Technology."
What is Dr. HARSHITHA M JATHANNA's achievement?,What is the accomplishment of Dr. HARSHITHA M JATHANNA?,"Dr. HARSHITHA M JATHANNA received the Best Paper Award for the paper titled 'Exploring Pongamia seed cake hydrolysate as a medium for lipid production by using Aspergillus ochraceus' presented at the 11th International Exergy, Energy and Environment Symposium (IEEES-11). They also received a Certificate of 'Elite' for successful completion of the NPTEL online course on 'Effective Engineering Teaching in Practice', a Facilitator Award for the successful completion of the 'Primer' course on Facilitator Certification in Human Resource Development, a Certificate of Excellence for securing First Prize in the GIAN course on 'Co-Product Recovery from Existing and Future Bio-refineries', and a Certificate of 'Elite' upon successful completion of the NPTEL online course on 'Industrial Biotechnology'."
What are Dr. HARSHITHA M JATHANNA's departmental responsibilities?,What are the roles and duties Dr. HARSHITHA M JATHANNA has within the department?,"Dr. HARSHITHA M JATHANNA has served in various departmental responsibilities including ISO Coordinator, MOOCs/NPTEL Coordinator, Phoenix - BT Students' Association Coordinator, Cultural Coordinator, Wenamitaa - Alumni Association Coordinator, Off-campus placement, Higher studies, and Lab In-Charge for: Unit Operations Lab, Instrumentation Lab."
What are Dr. HARSHITHA M JATHANNA's professional memberships?,What are the professional organizations Dr. HARSHITHA M JATHANNA is a part of?,Dr. HARSHITHA M JATHANNA is a Life Member of the Indian Society for Technical Education (ISTE).
What subjects does Dr. HARSHITHA M JATHANNA handle?,What are the subjects Dr. HARSHITHA M JATHANNA teaches or specializes in?,"Dr. HARSHITHA M JATHANNA handles subjects including Analytical Techniques, Downstream Processing Technology, Environmental Biotechnology, Heat and Mass Transfer, Microarray Technology, and Unit Operations in Bioprocess Industries."
What are Dr. HARSHITHA M JATHANNA's conferences/CME/Workshops?,"What are the conferences, CMEs, and workshops Dr. HARSHITHA M JATHANNA has participated in or organized?","Dr. HARSHITHA M JATHANNA has participated in various workshops, seminars, conferences, and online programs on topics including research excellence, teaching techniques, innovation, and design thinking, facilitated by organizations like NPTEL, AICTE, and more."
Tell me more about Dr. HARSHITHA M JATHANNA,Can you provide more details about Dr. HARSHITHA M JATHANNA's professional profile?,"Dr. HARSHITHA M JATHANNA is a distinguished biotechnologist with a Ph.D in Biofuels Engineering and extensive experience in academia and research. They have served in various capacities, focusing on Bioenergy, Biofuels Technology, Environmental Biotechnology, and Fermentation Technology. They have received several awards and recognitions for their research and contributions to the field."
