question,paraphrase_question,answer
Which subjects has Dr. N S S RAMAKRISHNA handled?,Which subjects has Dr. N S S RAMAKRISHNA taught or specialized in?,"Dr. N S S RAMAKRISHNA has handled subjects such as Power System Protection, Fundamentals of Electric Vehicle, Renewable Energy sources, Electrical machines, Electrical Distribution system, Basic Electrical Engineering, and Sustainable Energy."
How many B.Tech Major Projects and B.Tech Mini Projects hardware prototype models has Dr. N S S RAMAKRISHNA guided?,What is the number of B.Tech Major Projects and B.Tech Mini Projects hardware prototype models Dr. N S S RAMAKRISHNA has supervised?,Dr. N S S RAMAKRISHNA has guided 7 B.Tech Major Projects and 9 B.Tech Mini Projects hardware prototype models.
What is Mr. DHANANJAYA B's past experience?,What is the professional background of Mr. DHANANJAYA B?,"Mr. DHANANJAYA B holds a Ph.D. (Pursuing), an M.Tech in Microelectronics and Control System from VTU Belagavi (2010), and a B.E. in Electrical and Electronics Engineering from VTU, Belagavi (2006)."
What are Mr. DHANANJAYA B's areas of interest?,What are the research or professional interests of Mr. DHANANJAYA B?,"Mr. DHANANJAYA B worked as a Lecturer in KVGCE Sullia from 2006 to 2007, as a Lecturer in Canara Engineering College Bantwal from 2007 to 2008, as an Assistant Professor Gd-I in Alva’s Institute of Engineering & Technology Moodbidri from 2008 to 2015, and as an Assistant Professor Gd-II in Canara Engineering College Bantwal from 2015 to 2022."
What departmental responsibilities does Mr. DHANANJAYA B have?,What are the duties and responsibilities of Mr. DHANANJAYA B in his department?,Mr. DHANANJAYA B's areas of interest include Power Electronics and Electric Vehicles.
What professional memberships does Mr. DHANANJAYA B hold?,What are the professional associations or memberships of Mr. DHANANJAYA B?,Mr. DHANANJAYA B is a member of the Sports Committee.
Which subjects has Mr. DHANANJAYA B handled?,Which subjects has Mr. DHANANJAYA B taught or specialized in?,Mr. DHANANJAYA B holds a lifetime membership of ISTE (Indian Society for Technical Education).
What are Dr. KRISHNA RAO's educational qualifications?,What are the academic credentials of Dr. KRISHNA RAO?,"Mr. DHANANJAYA B has handled subjects such as VLSI Design, Industrial Drives, High Voltage Engineering, Control Systems, High Voltage DC Transmission, High speed VLSI, Embedded system, Linear and nonlinear systems, Power electronics, Micro-Electronic Circuits, Linear IC's and Op-amps, Analog Electronic Circuits, Basic Electrical/Electronic Engineering, Analog & Digital Electronics, and Micro-controller & Embedded Systems."
What is Dr. KRISHNA RAO's past experience?,What is the professional background of Dr. KRISHNA RAO?,"Dr. KRISHNA RAO holds a B.E., M.Tech., and Ph.D. from NITK."
What are Dr. KRISHNA RAO's areas of interest?,What are the research or professional interests of Dr. KRISHNA RAO?,"Dr. KRISHNA RAO served as Deputy Manager (Electrical Maintenance) at KIOCL, Mangalore from 1996 to 2008. He then worked as a Senior Lecturer at Canara Engineering College, Benjanapadavu, Mangalore from 2008 to 2011, and later as an Assistant Professor at the same institution from 2013 to 2015."
What departmental responsibilities does Dr. KRISHNA RAO have?,What are the duties and responsibilities of Dr. KRISHNA RAO in his department?,"Dr. KRISHNA RAO's areas of interest include Power system identification, Power system dynamics, Signal processing applications to power systems, and Linear algebra."
What professional memberships does Dr. KRISHNA RAO hold?,What are the professional associations or memberships of Dr. KRISHNA RAO?,Dr. KRISHNA RAO serves as the Department Moodle Coordinator.
Which subjects has Dr. KRISHNA RAO handled?,Which subjects has Dr. KRISHNA RAO taught or specialized in?,Dr. KRISHNA RAO is a Student Member of IEEE.
What conferences/CME/workshops has Dr. KRISHNA RAO participated in?,"Which conferences, CMEs, or workshops has Dr. KRISHNA RAO attended?","Dr. KRISHNA RAO has handled subjects such as Transmission and Distribution, Switchgear and Protection, Power System Operation and Control, Power System Analysis, and Transformers and Induction Machines."
What are Dr. DINESH SHETTY's educational qualifications?,What are the academic credentials of Dr. DINESH SHETTY?,"Dr. KRISHNA RAO participated in workshops such as ""Emerging Trends in Distribution Systems"" at NITK in October 2008, ""Application of MATLAB in Engineering Research"" at Canara Engineering College, Benjanapadavu, Mangalore in July 2013, and ""Modelling of VSC-based FACTS and HVDC Controllers"" at NMAMIT, Nitte in July 2014."
What is Dr. DINESH SHETTY's past experience?,What is the professional background of Dr. DINESH SHETTY?,"Dr. DINESH SHETTY holds a Ph.D. and an M.Tech in Microelectronics and control system from VTU Belagavi in 2010. He also has a B.E. in Electrical and Electronics Engineering from VTU, Belagavi in 2005."
What are Dr. DINESH SHETTY's areas of interest?,What are the research or professional interests of Dr. DINESH SHETTY?,"Dr. DINESH SHETTY worked as a Lecturer in AITM Bhatkal from 2005 to 2007, then as a Lecturer in SJEC Vamanjoor from 2007 to 2008, and again as a Lecturer in AITM Bhatkal from 2008 to 2014."
What departmental responsibilities does Dr. DINESH SHETTY have?,What are the duties and responsibilities of Dr. DINESH SHETTY in his department?,Dr. DINESH SHETTY's areas of interest include Power system and Control system.
What professional memberships does Dr. DINESH SHETTY hold?,What are the professional associations or memberships of Dr. DINESH SHETTY?,"Dr. DINESH SHETTY serves as a BOS member, DUGC member, Training & Placement coordinator, and NIRF coordinator."
Which subjects has Dr. DINESH SHETTY handled?,Which subjects has Dr. DINESH SHETTY taught or specialized in?,Dr. DINESH SHETTY holds lifetime memberships of ISTE and the Indian Society of Systems for Science and Engineering (ISSE).
What conferences/CME/workshops has Dr. DINESH SHETTY participated in?,"Which conferences, CMEs, or workshops has Dr. DINESH SHETTY attended?","Dr. DINESH SHETTY has handled subjects such as Power System Analysis and Stability, Signals and Systems, Digital Signal Processing, Transmission and Distribution, Logic Design, Fuzzy Logic Control, Basic Electrical Engineering, and Smart Electric Grid."
How many projects has Dr. DINESH SHETTY guided?,What is the number of projects Dr. DINESH SHETTY has supervised?,"Dr. DINESH SHETTY has participated in various workshops and programs, including those on Advanced Optimization Techniques, Universal Human Values in Technical Education, Digital Signal Processing, Next Generation Power Grids, ICT Solutions for Issues and Challenges in Smart Grid Technology, Instructional Design and Delivery, and Signals and Systems."
What are Mr. NAVEEN J's educational qualifications?,What are the academic credentials of Mr. NAVEEN J?,Dr. DINESH SHETTY has guided 4 M.Tech projects and 9 B.E. projects.
What are Mr. NAVEEN J's areas of interest?,What are the research or professional interests of Mr. NAVEEN J?,Mr. NAVEEN J holds an M.Tech in Computer Applications in Industrial Drives from VTU Belagavi and a B.E. in Electrical and Electronics Engineering from Kuvempu University.
What departmental responsibilities does Mr. NAVEEN J have?,What are the duties and responsibilities of Mr. NAVEEN J in his department?,"Mr. NAVEEN J's areas of interest include Electrical Drives, Power Electronics, Renewable energy, and Power system."
What professional memberships does Mr. NAVEEN J hold?,What are the professional associations or memberships of Mr. NAVEEN J?,"Mr. NAVEEN J serves as a Sports Coordinator, EDC Coordinator, ICETE coordinator, and Mission Prerana coordinator."
Which subjects has Mr. NAVEEN J handled?,Which subjects has Mr. NAVEEN J taught or specialized in?,Mr. NAVEEN J has publications in International Journals and has participated in various conferences and workshops.
How many projects has Mr. NAVEEN J guided?,What is the number of projects Mr. NAVEEN J has supervised?,"Mr. NAVEEN J has handled subjects such as Power system Operation and control, Computer control of Industrial Drives, Digital Signals Processing, Renewable energy sources, Nonconventional energy systems, Basic Electrical engineering, Power Electronics, and Industrial drives."
What additional information is available about Mr. NAVEEN J?,What further details can be found about Mr. NAVEEN J?,Mr. NAVEEN J has guided 4 B.E. projects and 4 M.Tech projects.
What are Dr. GIRISHA JOSHI's educational qualifications?,What are the academic credentials of Dr. GIRISHA JOSHI?,"Mr. NAVEEN J has attended various workshops, faculty development programs, and conferences related to his field."
What is Dr. GIRISHA JOSHI's past experience?,What is the professional background of Dr. GIRISHA JOSHI?,"Dr. GIRISHA JOSHI holds a Ph.D and an M.Tech in Power Electronics from VTU Belagavi, completed in 2012. Additionally, Dr. JOSHI has a B.E. in Electrical & Electronics Engineering from VTU completed in 2007."
What are Dr. GIRISHA JOSHI's areas of interest?,What are the research or professional interests of Dr. GIRISHA JOSHI?,"Dr. GIRISHA JOSHI served as an Assistant Professor in SJEC, Mangalore, from 2008 to 2016. Prior to that, Dr. JOSHI worked as a Site Engineer in ABB Ltd. from 2007 to 2008."
What departmental responsibilities does Dr. GIRISHA JOSHI have?,What are the duties and responsibilities of Dr. GIRISHA JOSHI in his department?,"Dr. GIRISHA JOSHI's areas of interest include Power Electronics, Artificial Neural Network, Fuzzy Logic, and LabVIEW."
Which subjects has Dr. GIRISHA JOSHI handled?,Which subjects has Dr. GIRISHA JOSHI taught or specialized in?,"Dr. GIRISHA JOSHI serves as a Class Advisor, BOS member for PG, and Sports Coordinator."
How many projects has Dr. GIRISHA JOSHI guided?,What is the number of projects Dr. GIRISHA JOSHI has supervised?,"Dr. GIRISHA JOSHI has handled subjects such as Power Electronics, Basic Electrical Engineering, Instrumentation and Measurements, Soft Computing, Modeling and Simulation of Power Electronic Systems, AC-DC drives, Electrical machine Design, DC and Synchronous Machines, Transformers and Induction Motors, Electrical Design Estimation and Costing, Electrical Power Utilization, Field Theory, Industrial Drives and Applications, Analog Electronic Circuits, Advanced Topics in Power Electronic Systems, and Power Electronics in Smart Grid, among others."
What is Dr. K. Latha Shenoy's highest educational qualification?,What is the highest academic degree of Dr. K. Latha Shenoy?,Dr. GIRISHA JOSHI has guided 8 B.E. projects and 4 M.Tech projects.
What was Dr. K. Latha Shenoy's past experience?,What is the professional background of Dr. K. Latha Shenoy?,"Ph.D M.Tech DEAC - MIT, Manipal - 2007, B.E - E&E NMAMIT, Nitte 1996"
What are Dr. K. Latha Shenoy's areas of interest?,What are the research or professional interests of Dr. K. Latha Shenoy?,"Canara Engineering College, Mangalore from 2004 to 2005, NMAM Institute of Technology, Nitte from 2005 till date"
What are Dr. K. Latha Shenoy's departmental responsibilities?,What are the duties and responsibilities of Dr. K. Latha Shenoy in her department?,"Renewable Energy, Power Electronics, Control System"
What professional memberships does Dr. K. Latha Shenoy have?,What are the professional associations or memberships of Dr. K. Latha Shenoy?,"R & D, Product Cell development, Alumni Coordinator, NitteNews Bulletin Board of Examiners (BOE), MSE Co-ordinator, Board of Study (BOS) Member, DUGC Student Mentor, First Year BEE Co-ordinator, Industrial Tour Co-ordinator, Mini project Co-ordinator, Seminar Co-ordinator"
What subjects does Dr. K. Latha Shenoy handle?,Which subjects does Dr. K. Latha Shenoy teach or specialize in?,"ISTE, SMIEEE"
How many B.E. and M.Tech projects has Dr. K. Latha Shenoy guided?,What is the number of B.E. and M.Tech projects Dr. K. Latha Shenoy has supervised?,"Basic Electrical Engineering, Network Analysis, Logic Design, Electrical Measurement, Control System, FACTS, VLSI Design, PWM Converter & Applications, Microprocessor 8085, Switched Mode Power Supply (SMPS), Solar Plant Design Operation & Maintenance (SPDOM), Digital System Design using VHDL, Power Electronics (PE)"
Tell me more about Dr. K. Latha Shenoy.,Can you provide more details about Dr. K. Latha Shenoy?,"B.E. Projects: 10, M.Tech Projects: 07"
What is Dr. Anitha Marina Colaco's highest educational qualification?,What is the highest academic degree of Dr. Anitha Marina Colaco?,"Dr. K. Latha Shenoy is a dedicated academic and researcher with a strong background in Electrical and Electronics Engineering, with a focus on Renewable Energy and Power Electronics. She holds a Ph.D. and M.Tech from MIT, Manipal, and a B.E. from NMAMIT, Nitte. Dr. Shenoy has served at Canara Engineering College, Mangalore, and currently at NMAM Institute of Technology, Nitte. She has been involved in various departmental responsibilities, including R&D, product cell development, and serving as a coordinator for several initiatives. Her areas of interest include Renewable Energy, Power Electronics, and Control Systems. Dr. Shenoy has guided numerous B.E. and M.Tech projects and has been involved in numerous conferences, workshops, and faculty development programs, showcasing her expertise and dedication to advancing knowledge in her areas of interest."
What are Dr. Anitha Marina Colaco's areas of interest?,What are the research or professional interests of Dr. Anitha Marina Colaco?,"Ph.D - Solid State Lighting Controls For Healthcare - MAHE University, M.Tech - Microelectronics And Control Systems - VTU - 2005, B.E - Electrical And Electronics - VTU - 2003"
What achievement did Dr. Anitha Marina Colaco secure?,What is a notable accomplishment of Dr. Anitha Marina Colaco?,"Solid state lighting controls, Design of LED luminaire, Thermal analysis of the LED luminaire, LED application for healthcare"
What are Dr. Anitha Marina Colaco's departmental responsibilities?,What are the duties and responsibilities of Dr. Anitha Marina Colaco in her department?,Received Fund 93000/- from AICTE ATAL Academy for a 5 days online FDP on 'Gender Equity challenges and opportunities for Women in decision Making'
What professional memberships does Dr. Anitha Marina Colaco have?,What are the professional associations or memberships of Dr. Anitha Marina Colaco?,"Student performance coordinator 2013-2014, Placement coordinator 2011-12, Member of grievance cell 2010-2011, Member of BOS 2010-2011, Member- time table year 2009-2010, sessional Coordinator 2009, Electrical & Electronics Dept, Question paper setter for PG course, Microelectronics & Control System, VTU university, Question paper setter for Kannur University 2021, NAAC V criteria department coordinator 2022, NAAC VII criteria department coordinator, AAA coordinator"
What subjects does Dr. Anitha Marina Colaco handle?,Which subjects does Dr. Anitha Marina Colaco teach or specialize in?,"SPIE, Life Member of Optical Society of India"
Tell me more about Dr. Anitha Marina Colaco.,Can you provide more details about Dr. Anitha Marina Colaco?,"Analog electronic circuits, Electrical power generation, Transmission and distribution, Control systems, Network analysis, Hardware description language, VLSI design, High speed VLSI design, High voltage DC, Linear integrated circuits, Basic electrical engineering, Switch gear protection, Power system analysis and stability, Electric power utilization, Renewable energy sources"
What is Dr. Rajalakshmi Samaga's highest educational qualification?,What is the highest academic degree of Dr. Rajalakshmi Samaga?,"Dr. Anitha Marina Colaco is a distinguished academic and researcher with a strong background in Microelectronics and Control Systems, and a focus on Solid State Lighting Controls for Healthcare. She holds a Ph.D. from MAHE University and an M.Tech in Microelectronics and Control Systems from VTU. Dr. Colaco has been involved in various departmental responsibilities, including student performance coordination, placement coordination, and serving as a member of several committees. Her areas of interest include Solid State Lighting Controls, Design of LED Luminaires, and LED applications for healthcare. Dr. Colaco has received funding for her research and has been involved in numerous conferences, workshops, and faculty development programs, showcasing her expertise and dedication to advancing knowledge in her areas of interest."
What was Dr. Rajalakshmi Samaga's past experience?,What is the professional background of Dr. Rajalakshmi Samaga?,"Ph.D - Electrical and Electronics Engg NITK, Surathkal NITK, Surathkal 2013"
What are Dr. Rajalakshmi Samaga's areas of interest?,What are the research or professional interests of Dr. Rajalakshmi Samaga?,"NMAM Institute of Technology, Nitte, Lecturer & Assistant Professor in EEE Department from September 1990-July 2004, Manipal Institute of Technology - Assistant Professor (Selection Grade) from July 2004 - June 2012, Canara Engineering College - Assistant Professor & HoD (incharge) in EEE department and Professor & HoD in E&C department from June 2012 - April 2022"
What achievements did Dr. Rajalakshmi Samaga secure?,What are the notable accomplishments of Dr. Rajalakshmi Samaga?,"Machines and Drives, Controller Design, Machine Learning"
What are Dr. Rajalakshmi Samaga's departmental responsibilities?,What are the duties and responsibilities of Dr. Rajalakshmi Samaga in her department?,"Won 3rd prize in the 7th annual national level technical paper contest under research category, VIMantra2010, Educator 2010, Conducted by National Instruments Corporation India, Dec13-14, Chennai. Won 2nd prize in the 8th annual national level technical paper contest under research category, VIMantra2011, Educator 2011, Conducted by National Instruments Corporation, Oct 12-13, Bangalore. Awarded IEEE Student branch CEC honour in recognition of outstanding contribution to the cause of Women and Engineering on the occasion of Women's Day celebration on 10-3-2017. Awarded 1% topper certificate with Gold Elite in NPTEL course on""Control Engineering"" by Dr.Ramakrishna Pashumarthy, IIT, Chennai in October 2017. Awarded 1% topper certificate with Gold Elite in NPTEL course in ""Advanced Linear Continuous Control Systems: Applications with MATLAB Programming and Simulink"" by Dr.Yogesh Vijay Hote, IIT, Roorkee in October 2019. Awarded Elite-Silver certification in NPTEL course on ""Programming, Data Structures And Algorithms Using Python""by Prof. Madhavan Mukund, Chennai Mathematical Institute in Jan-March21. Awarded Elite-Silver certification in NPTEL course on""The Joy of Computing using Python""by Prof. Sudarshan Iyengar, Prof. Yayati Gupta, IIT Ropar in November 2021. Digital Signal Processing Exercises in Scilab For Better Understanding, A Practical Approach, Interline Publishing in January 2019."
What professional memberships does Dr. Rajalakshmi Samaga have?,What are the professional associations or memberships of Dr. Rajalakshmi Samaga?,"Coordinator Students Performance Monitoring cell, Department Research Coordinator, Mentor for I year Internship activity, NAAC Criteria 3, NBA Criteria 6, Proctor for II-year Students, Coordinator of ICT academy ORACLE technologies, Class advisor 7th sem and I year B.Tech Course coordinator"
What subjects does Dr. Rajalakshmi Samaga handle?,Which subjects does Dr. Rajalakshmi Samaga teach or specialize in?,ISTE -LM10773
Tell me more about Dr. Rajalakshmi Samaga.,Can you provide more details about Dr. Rajalakshmi Samaga?,"VLSI Design, Modelling and Simulation of Electric Drives, VLSI Design (pSpice Simulation and layout), Lab Power Electronics and Drives, Lab Basic Electrical Technology, Machines Electric.Circuits, Network Theory, Network Synthesis, Measurements (Electrical,Electronic), Power Electronics, HVDC transmission, Advanced Optimization Techniques, Solid State Drives, Computer Programming, Microprocessor, Digital Signal Processing, Utilization of Electrical Energy, Signals and Systems, Microcontrollers, Engineering, Statistics and Linear Algebra, Control Systems, Machines Lab, Circuits, Measurements Lab, Power Electronics Lab, Microprocessor Lab, AEC and DEC Lab, Microcontrollers Lab, Power System Simulation Lab, Digital Signal Processing (Scilab, Matlab) Lab"
What is Dr. Nayana Shetty's highest educational qualification?,What is the highest academic degree of Dr. Nayana Shetty?,"Dr. Rajalakshmi Samaga is a distinguished academic and researcher with a strong background in Electrical and Electronics Engineering, with a focus on Machines and Drives, Controller Design, and Machine Learning. She holds a Ph.D. from NITK, Surathkal, and an M.Tech in Power and Energy Systems from KREC (NITK), Surathkal, Mangalore. Dr. Samaga has served at NMAM Institute of Technology, Nitte, Manipal Institute of Technology, and Canara Engineering College. She has been involved in various departmental responsibilities, including coordinating student performance monitoring, department research, and mentoring internship activities. Her areas of interest include Machines and Drives, Controller Design, and Machine Learning. Dr. Samaga has secured several achievements, including winning prizes in national level technical paper contests and receiving awards for her contributions to the field. She has also been involved in numerous conferences, workshops, and faculty development programs, showcasing her expertise and dedication to advancing knowledge in her areas of interest."
What was Dr. Nayana Shetty's past experience?,What is the professional background of Dr. Nayana Shetty?,"Ph.D M.Tech in Power and Energy System from NITK Surathkal in 2004-2006, B.E. in Electrical and Electronics from Mangalore University in 1993-1997"
What are Dr. Nayana Shetty's areas of interest?,What are the research or professional interests of Dr. Nayana Shetty?,"Lecturer in NMAM Institute of Technology from 1997 to 2006, Senior Lecturer in NMAM Institute of Technology from 2006 to 2008, Assistant Professor in NMAM Institute of Technology from 2008 to 2014, Associate Professor in NMAM Institute of Technology from 2014"
What are Dr. Nayana Shetty's departmental responsibilities?,What are the duties and responsibilities of Dr. Nayana Shetty in her department?,"Renewable Energy, Power System, Power Electronics, Control System"
What professional memberships does Dr. Nayana Shetty have?,What are the professional associations or memberships of Dr. Nayana Shetty?,"Department Coordinator of Students performance monitoring cell, R&D, Placement Committee, ISTE Chapter NMAMIT, Industrial Visit, Final year UG Project Time Table, Sessional Internship, PG Internship and special topic seminar, PG Project, BOS, BOE, DUGC member of EE Engg, NMAMIT, Nitte, Member of committee in 40th series KSCST Seminar and Exhibition of SPP, Coordinator of ""NCAEE08"" National conference held at NMAMIT, Nitte, 14-15Nov, 2008, Coordinator of International conference (EE EnggDept) held at NMAMIT, Nitte, 4-5 May, 2011, Conducted National workshop on ""Emerging Technology in Power Electronics-Broad Spectrum Review"" during 28 -30th July, 2011 at NMAMIT, Nitte, Convener of ""Nitte Conference NCAEE-2016"" held at NMAMIT, Nitte, on 11-12 April, 2016, Reviewer of Technical Papers in International conference on Emerging Trends in Engg NCAEE-12, NCAEE-13 ICETE-2011, ICETE-2012, ICETE-2017, ICETE-2019, ICETE2020, IEEER10HTC 2021, IEEE-DISCOVER, Technical session chair in NCAEE 2015, NCAEE 2016, ICETE 2016,NCAEE 2017,Publicity committee member in ICETE VSPICE-2019, Track chair for ICETE -AREEV 2020 for Power Systems, Renewable Energy & E-Mobility stream, Technical Session chair in IEEE Discover 2021."
What subjects does Dr. Nayana Shetty handle?,Which subjects does Dr. Nayana Shetty teach or specialize in?,"Life member of Indian Society for Technical Education(ISTE)-LM25137, Life member of Indian Society of Systems for Science & Engineering(ISSE)-LM02184"
Tell me more about Dr. Nayana Shetty.,Can you provide more details about Dr. Nayana Shetty?,"Solid State Drives, Power Electronics, Control System, Fuzzy Logic Control, Advanced Control System, Transmission and Distribution System, Electrical Measurement and Measuring Instruments, Electrical Power Generation, Switch Gear and Protection, Digital Electronic Circuit, Power System analysis and stability, Basic Electrical Engineering, Non Conventional Energy Systems, Linear System Theory, Industrial Management, Electrical Estimation & Economics"
What is Dr. RAJALAXMI SAMAGA's highest educational qualification?,What is the highest academic degree of Dr. RAJALAXMI SAMAGA?,"Dr. Nayana Shetty is a dedicated academic and researcher with a strong background in Electrical and Electronics Engineering, with a focus on Renewable Energy, Power System, Power Electronics, and Control System. She holds a Ph.D. and M.Tech in Power and Energy System from NITK Surathkal and a B.E. in Electrical and Electronics from Mangalore University. Dr. Shetty has served at NMAM Institute of Technology, Nitte, in various capacities, including Lecturer, Senior Lecturer, Assistant Professor, and Associate Professor. Her areas of interest include Renewable Energy, Power System, Power Electronics, and Control System. Dr. Shetty has been involved in numerous departmental responsibilities, including coordinating student performance monitoring, R&D, placement committees, and serving as a member of various committees and boards. She has also been actively involved in organizing and participating in national and international conferences, workshops, and faculty development programs. Her contributions to the field have been recognized through her professional memberships, including being a life member of the Indian Society for Technical Education (ISTE) and the Indian Society of Systems for Science & Engineering (ISSE). Dr. Shetty's expertise spans a wide range of subjects, including Solid State Drives, Power Electronics, Control System, Fuzzy Logic Control, Advanced Control System, Transmission and Distribution System, Electrical Measurement and Measuring Instruments, Electrical Power Generation, Switch Gear and Protection, Digital Electronic Circuit, Power System analysis and stability, Basic Electrical Engineering, Non Conventional Energy Systems, Linear System Theory, Industrial Management, Electrical Estimation & Economics. Her work has been recognized through various achievements, including serving as a technical program committee member in international conferences and as a question paper setter for VTU and MAHE University. Dr. Shetty's dedication to advancing knowledge in her areas of interest and her commitment to education and research make her a valuable asset to the field of Electrical and Electronics Engineering."
What was Dr. RAJALAXMI SAMAGA's past experience?,What is the professional background of Dr. RAJALAXMI SAMAGA?,"B.E - Electrical & Electronics Engineering SJCE, Mysore 1990 M.Tech.- Power and Energy Systems KREC (NITK), Surathkal , Mangalore 1994 Ph.D - Electrical and Electronics Engg NITK, Surathkal NITK, Surathkal 2013"
What are Dr. RAJALAXMI SAMAGA's areas of interest?,What are the research or professional interests of Dr. RAJALAXMI SAMAGA?,"NMAM Institute of Technology, Nitte, Lecturer & Assistant Professor in EEE Department from September 1990-July 2004 Manipal Institute of Technology - Assistant Professor (Selection Grade) from July 2004 - June 2012 Canara Engineering College - Assistant Professor & HoD (incharge) in EEE department and Professor & HoD in E&C department from June 2012 - April 2022"
What achievements did Dr. RAJALAXMI SAMAGA secure?,What are the notable accomplishments of Dr. RAJALAXMI SAMAGA?,Machines and Drives Controller Design Machine Learning
What are Dr. RAJALAXMI SAMAGA's departmental responsibilities?,What are the duties and responsibilities of Dr. RAJALAXMI SAMAGA in her department?,"Rajalakshmi Samaga BL, ""Investigations into Asymmetrical Fault Detection by Motor Current Signature Analysis of Squirrel Cage Induction Motor"", won 3rd prize in the 7th annual national level technical paper contest under research category, VIMantra2010, Educator 2010, Conducted by National Instruments Corporation India, Dec13-14, Chennai. Rajalakshmi Samaga BL, ""Extraction of dq components of stator currents of an induction motor for mixed eccentricity fault detection"", won 2nd prize in the 8th annual national level technical paper contest under research category, VIMantra2011, Educator 2011, Conducted by National Instruments Corporation, Oct 12-13, Bangalore. IEEE Student branch CEC honour in recognition of outstanding contribution to the cause of Women and Engineering on the occasion of Women's Day celebration on 10-3-2017 Awarded 1% topper certificate with Gold Elite in NPTEL course on""Control Engineering"" by Dr.Ramakrishna Pashumarthy, IIT, Chennai in October 2017 Awarded 1% topper certificate with Gold Elite in NPTEL course in ""Advanced Linear Continuous Control Systems: Applications with MATLAB Programming and Simulink"" by Dr.Yogesh Vijay Hote, IIT, Roorkee in October 2019 Awarded Elite-Silver certification in NPTEL course on ""Programming, Data Structures And Algorithms Using Python""by Prof. Madhavan Mukund, Chennai Mathematical Institute in Jan-March21 Awarded Elite-Silver certification in NPTEL course on""The Joy of Computing using Python""by Prof. Sudarshan Iyengar, Prof. Yayati Gupta, IIT Ropar in November 2021 Digital Signal Processing Exercises in Scilab For Better Understanding, A Practical Approach, Interline Publishing in January 2019"
What professional memberships does Dr. RAJALAXMI SAMAGA have?,What are the professional associations or memberships of Dr. RAJALAXMI SAMAGA?,Coordinator Students Performance Monitoring cell Department Research Coordinator Mentor for I year Internship activity NAAC Criteria 3. NBA Criteria 6. Proctor for II-year Students Coordinator of ICT academy ORACLE technologies Class advisor 7th sem and I year B.Tech Course coordinator
What subjects does Dr. RAJALAXMI SAMAGA handle?,Which subjects does Dr. RAJALAXMI SAMAGA teach or specialize in?,ISTE -LM10773
What is Dr. M SATYENDRA KUMAR SHET's highest educational qualification?,What is the highest academic degree of Dr. M SATYENDRA KUMAR SHET?,"VLSI Design Modelling and Simulation of Electric Drives VLSI Design (pSpice Simulation and layout) Lab Power Electronics and Drives Lab Basic Electrical Technology Machines Electric.Circuits Network Theory Network Synthesis Measurements (Electrical,Electronic) Power Electronics HVDC transmission Advanced Optimization Techniques Solid State Drives Computer Programming Microprocessor Digital Signal Processing Utilization of Electrical Energy Signals and Systems Microcontrollers Engineering Statistics and Linear Algebra Control Systems Machines Lab Circuits, Measurements Lab Power Electronics Lab Microprocessor Lab AEC and DEC Lab Microcontrollers Lab Power System Simulation Lab Digital Signal Processing (Scilab, Matlab) Lab"
What was Dr. M SATYENDRA KUMAR SHET's past experience?,What is the professional background of Dr. M SATYENDRA KUMAR SHET?,"Ph. D - Power Electronics and Drives - National Institute of Technology , Karnataka 2011 M. Tech - Power Electronics- Bangalore University 1993 B. E - Electrical - Mangalore University - 1987"
What are Dr. M SATYENDRA KUMAR SHET's areas of interest?,What are the research or professional interests of Dr. M SATYENDRA KUMAR SHET?,"As a Lecturer in KVGCE, Sullia As an Asst. Lecturer in KREC Surathkal As An Asst. Professor in NMAMIT, Nitte As An Professor in SJEC , Mangalore As a Professor in NMAMIT, Nitte"
What are Dr. M SATYENDRA KUMAR SHET's departmental responsibilities?,What are the duties and responsibilities of Dr. M SATYENDRA KUMAR SHET in his department?,"Power Electronics & Drives, Renewable energy Systems, Switch mode power converters Energy audit and energy management, Electric Vehicle"
What professional memberships does Dr. M SATYENDRA KUMAR SHET have?,What are the professional associations or memberships of Dr. M SATYENDRA KUMAR SHET?,"HOD, BOS and BOE Member TPC member and Reviewer for Various IEEE conferences Reviewer of IEEE open access journal and Text Book proposal on ""small electric vehicles'- World Scientific, 57 Shelton Street, Covent Garden, London,WC2H9HE, UK. www.worldscientific.com Design & development of all E & E Engg Laboratories Organized International Conference, state level project exhibition & competitions, seminars & student welfare programmes Also 11 years as NCC officer"
What subjects does Dr. M SATYENDRA KUMAR SHET handle?,Which subjects does Dr. M SATYENDRA KUMAR SHET teach or specialize in?,ISTE Life member ISHRAE life member
What is Dr. M SATYENDRA KUMAR SHET's project guide experience?,What is the experience of Dr. M SATYENDRA KUMAR SHET in guiding projects?,"Electrical Machines :D.C and AC Machines, Transmission andDistribution Switch Gear and Protection Industrial Management Economics and Estimation(IMEE) AC and DC drives Solid State Power Controllers Industrial Drives and applications Electrical power Utilization Digital Control Systems Reactive Power Management Management and Entrepreneurship Power Electronics"
What additional information does Dr. M SATYENDRA KUMAR SHET have?,What further details can be found about Dr. M SATYENDRA KUMAR SHET?,B. E. Projects : 18 M.Tech. Projects : 08 Ph. D project : 02 (ongoing)
